0MEFAC03084812011053100120110430001201105319780022777                                                 
1201105310511103650022777PT503016160   DIRECTOR MEIOS E PROJECTOS              301                    
2A     Ligaá∆o Central                                                                                
3A 1   Bancos                                                                                         
4A 1 1 201105311                        CPU em real time      000100000000000000000000010000000100000D
6A 1   0000000100000D                                                                                 
7A     0000000000100000D                                                                              
2E     Utilizaá∆o de Cart‰es                                                                          
3E 1   Direitos de Utilizaá∆o                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110527001000001                                                                         
5E 9 3 MCLN520110528001000001                                                                         
5E 9 3 MCLN520110528001000001                                                                         
5E 9 3 MCLN520110528001000001                                                                         
5E 9 3 MCLN520110530001000001                                                                         
5E 9 3 MCLN520110530001000001                                                                         
5E 9 3 MCLN520110531001000001                                                                         
5E 9 3 MCLN520110531001000001                                                                         
4E 9 4 20110531MECST20110531001         Permanància em LN     000000011200000000000040570000000045438D
6E 9   0000000200876D                                                                                 
7E     0000000000710157D                                                                              
2F     Gest∆o Fich PIN                                                                                
3F 7   Gest∆o Fich de PIN                                                                             
4F 7 1 20110531                         De 1 a 25000          000000002500000000000250000000000062500D
4F 7 2 20110531                         De 25001 a 50000      000000002200000000000250000000000055000D
4F 7 3 20110531                         De 50001 a 75000      000000002000000000000250000000000050000D
4F 7 4 20110531                         De 75001 a 100000     000000001700000000000250000000000042500D
4F 7 5 20110531                         De 100001 a 125000    000000001500000000000250000000000037500D
4F 7 6 20110531                         De 125001 a 150000    000000001200000000000250000000000030000D
4F 7 7 20110531                         De 150001 a 175000    000000001000000000000250000000000025000D
4F 7 8 20110531                         De 175001 a 200000    000000000700000000000250000000000017500D
4F 7 9 20110531                         Excedente de 200000   000000000500000000000062040000000003102D
6F 7   0000000323102D                                                                                 
7F     0000000000323102D                                                                              
2G     Transacá‰es                                                                                    
3G 1   Levantamentos Emissor                                                                          
4G 1 1 20110501MDST520110501001         De 1 a 50000          000000001811000000000002560000000000464D
4G 1 1 20110502MDST520110502001         De 1 a 50000          000000001811000000000003190000000000578D
4G 1 1 20110503MDST520110503001         De 1 a 50000          000000001811000000000007650000000001385D
4G 1 1 20110504MDST520110504001         De 1 a 50000          000000001811000000000006910000000001251D
4G 1 1 20110505MDST520110505001         De 1 a 50000          000000001811000000000005900000000001068D
4G 1 1 20110506MDST520110506001         De 1 a 50000          000000001811000000000005580000000001011D
4G 1 1 20110507MDST520110507001         De 1 a 50000          000000001811000000000004770000000000864D
4G 1 1 20110508MDST520110508001         De 1 a 50000          000000001811000000000003370000000000610D
4G 1 1 20110509MDST520110509001         De 1 a 50000          000000001811000000000004440000000000804D
4G 1 1 20110510MDST520110510001         De 1 a 50000          000000001811000000000004200000000000761D
4G 1 1 20110511MDST520110511001         De 1 a 50000          000000001811000000000003900000000000706D
4G 1 1 20110512MDST520110512001         De 1 a 50000          000000001811000000000004130000000000748D
4G 1 1 20110513MDST520110513001         De 1 a 50000          000000001811000000000004630000000000838D
4G 1 1 20110514MDST520110514001         De 1 a 50000          000000001811000000000004400000000000797D
4G 1 1 20110515MDST520110515001         De 1 a 50000          000000001811000000000003130000000000567D
4G 1 1 20110516MDST520110516001         De 1 a 50000          000000001811000000000004450000000000806D
4G 1 1 20110517MDST520110517001         De 1 a 50000          000000001811000000000003870000000000701D
4G 1 1 20110518MDST520110518001         De 1 a 50000          000000001811000000000004410000000000799D
4G 1 1 20110519MDST520110519001         De 1 a 50000          000000001811000000000004770000000000864D
4G 1 1 20110520MDST520110520001         De 1 a 50000          000000001811000000000004610000000000835D
4G 1 1 20110521MDST520110521001         De 1 a 50000          000000001811000000000004790000000000867D
4G 1 1 20110522MDST520110522001         De 1 a 50000          000000001811000000000003400000000000616D
4G 1 1 20110523MDST520110523001         De 1 a 50000          000000001811000000000003610000000000654D
4G 1 1 20110524MDST520110524001         De 1 a 50000          000000001811000000000003570000000000647D
4G 1 1 20110525MDST520110525001         De 1 a 50000          000000001811000000000003400000000000616D
4G 1 1 20110526MDST520110526001         De 1 a 50000          000000001811000000000003510000000000636D
4G 1 1 20110527MDST520110527001         De 1 a 50000          000000001811000000000003770000000000683D
4G 1 1 20110528MDST520110528001         De 1 a 50000          000000001811000000000003640000000000659D
4G 1 1 20110529MDST520110529001         De 1 a 50000          000000001811000000000002800000000000507D
4G 1 1 20110530MDST520110530001         De 1 a 50000          000000001811000000000002580000000000467D
4G 1 1 20110531MDST520110531001         De 1 a 50000          000000001811000000000002830000000000513D
6G 1   0000000023322D                                                                                 
3G 2   Outras Operaá‰es                                                                               
4G 2 1 20110501MDST520110501001         De 1 a 40000          000000001437000000000005850000000000841D
4G 2 1 20110502MDST520110502001         De 1 a 40000          000000001437000000000011640000000001673D
4G 2 1 20110503MDST520110503001         De 1 a 40000          000000001437000000000013710000000001970D
4G 2 1 20110504MDST520110504001         De 1 a 40000          000000001437000000000011400000000001638D
4G 2 1 20110505MDST520110505001         De 1 a 40000          000000001437000000000010660000000001532D
