VDR       	 N. UNICRE        	  CADEIA    	 NOME                                    	                                                  
2284156	992017	9113465	 WORTEN OUREM                            	                                                  
2284164	992020	9113465	 WORTEN TORRES NOVAS BP                  	                                                  
2284172	222021	9113465	 WORTEN GAIA MGS                         	                                                  
2284180	222022	9113465	 WORTEN VISEU RETAIL PARK                	                                                  
2284198	222023	9113465	 WORTEN OEIRAS                           	                                                  
2284206	222024	9113465	 WORTEN PORTIMAO RET PARK                	                                                  
2284214	222025	9113465	 WORTEN TELHEIRAS                        	                                                  
2284222	992026	9113465	 WORTEN AVEIRO SHOP                      	                                                  
2284230	222027	9113465	 WORTEN VALE SOUSA                       	                                                  
2284248	222028	9113465	 WORTEN BRAGA                            	                                                  
2284255	222029	9113465	 WORTEN LOURES                           	                                                  
2284263	222030	9113465	 WORTEN MONTIJO MGS                      	                                                  
2284271	992031	9113465	 WORTEN FORUM COIMBRA                    	                                                  
2284289	992032	9113465	 WORTEN TOMAR                            	                                                  
2284297	992035	9113465	 WORTEN FUNDAO                           	                                                  
2284305	992036	9113465	 WORTEN ARRABIDA SHOPP MEGAST            	                                                  
2284313	992037	9113465	 WORTEN MACHICO                          	                                                  
2284321	992038	9113465	 WORTEN LOULE                            	                                                  
2284339	992039	9113465	 WORTEN LOUSA                            	                                                  
2284347	992040	9113465	 WORTEN FAMALICAO                        	                                                  
2284354	992043	9113465	 WORTEN VALONGO                          	                                                  
2284362	992047	9113465	 WORTEN BOMBARRAL                        	                                                  
2284370	992049	9113465	 WORTEN ABRANTES RP                      	                                                  
2284388	992050	9113465	 WORTEN FORUM BARREIRO                   	                                                  
2284396	992054	9113465	 WORTEN VIVACI GUARDA                    	                                                  
2284404	992056	9113465	 WORTEN OEIRAS EX-CARREF                 	                                                  
2284412	992059	9113465	 WORTEN PALMELA                          	                                                  
2284420	992060	9113465	 WORTEN MANGUALDE                        	                                                  
2284438	992063	9113465	 WORTEN FORUM MONTIJO                    	                                                  
2284446	992064	9113465	 WORTEN LOURES                           	                                                  
2284453	992065	9113465	 WORTEN TELHEIRAS                        	                                                  
2284461	992066	9113465	 WORTEN ARRABIDA                         	                                                  
2284479	222067	9113465	 WORTEN NA OEIRAS                        	                                                  
2284487	992068	9113465	 WORTEN S J TALHA                        	                                                  
2284495	992069	9113465	 WORTEN MOZELOS                          	                                                  
2284503	992070	9113465	 WORTEN AVINTES                          	                                                  
