0MEFAC03084812011033100120110228001201103319780022777                                                 
1201103310311100550022777PT503016160   DIRECTOR MEIOS E PROJECTOS              301                    
2A     Ligaá∆o Central                                                                                
5E 9 1 MCLN520110324001000001000000000000                                                             
5E 9 1 MCLN520110324001000001000000000000                                                             
5E 9 1 MCLN520110324001000001000000000000                                                             
5E 9 1 MCLN520110324001000001000000000000                                                             
5E 9 1 MCLN520110324001000001000000000000                                                             
5E 9 1 MCLN520110324001000001000000000000                                                             
5E 9 1 MCLN520110324001000001000000000000                                                             
5E 9 1 MCLN520110324001000001000000000000                                                             
5E 9 1 MCLN520110324001000001000000000000                                                             
5E 9 1 MCLN520110324001000001000000000000                                                             
5E 9 1 MCLN520110324001000001000000000000                                                             
5E 9 1 MCLN520110324001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110325001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110328001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110329001000001000000000000                                                             
5E 9 1 MCLN520110330001000001000000000000                                                             
5E 9 1 MCLN520110330001000001000000000000                                                             
5E 9 1 MCLN520110330001000001000000000000                                                             
5E 9 1 MCLN520110330001000001000000000000                                                             
5E 9 1 MCLN520110330001000001000000000000                                                             
5E 9 1 MCLN520110330001000001000000000000                                                             
5E 9 1 MCLN520110330001000001000000000000                                                             
5E 9 1 MCLN520110330001000001000000000000                                                             
5E 9 1 MCLN520110330001000001000000000000                                                             
5E 9 1 MCLN520110330001000001000000000000                                                             
5E 9 1 MCLN520110330001000001000000000000                                                             
5E 9 1 MCLN520110330001000001000000000000                                                             
5E 9 1 MCLN520110330001000001000000000000                                                             
5E 9 1 MCLN520110330001000001000000000000                                                             
5E 9 1 MCLN520110330001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MCLN520110331001000001000000000000                                                             
5E 9 1 MEASC20110304001000000000000000008                                                             
5E 9 1 MEASC20110311001000000000000000011                                                             
5E 9 1 MEASC20110309001000000000000000023                                                             
5E 9 1 MEASC20110302001000000000000000028                                                             
5E 9 1 MEASC20110301001000000000000000031                                                             
5E 9 1 MEASC20110303001000000000000000035                                                             
5E 9 1 MEASC20110228001000000000000000038                                                             
5E 9 1 MEASC20110310001000000000000000047                                                             
5E 9 1 MEASC20110307001000000000000000064                                                             
5E 9 1 MEASC20110314001000000000000000098                                                             
5E 9 1 MEASC20110315001000000000000000159                                                             
5E 9 1 MEASC20110318001000000000000000164                                                             
5E 9 1 MEASC20110325001000000000000000186                                                             
5E 9 1 MEASC20110323001000000000000000200                                                             
5E 9 1 MEASC20110329001000000000000000208                                                             
5E 9 1 MEASC20110324001000000000000000210                                                             
5E 9 1 MEASC20110330001000000000000000225                                                             
5E 9 1 MEASC20110317001000000000000000233                                                             
5E 9 1 MEASC20110322001000000000000000257                                                             
5E 9 1 MEASC20110321001000000000000000444                                                             
5E 9 1 MEASC20110328001000000000000000486                                                             
5E 9 1 MEASC20110316001000000000000012828                                                             
4E 9 2 20110331                         Card insert black list000000011200000000000000260000000000291D
5E 9 2 MCLN520110303001000001                                                                         
5E 9 2 MCLN520110304001000001                                                                         
5E 9 2 MCLN520110304001000001                                                                         
5E 9 2 MCLN520110305001000001                                                                         
5E 9 2 MCLN520110305001000001                                                                         
5E 9 2 MCLN520110309001000001                                                                         
5E 9 2 MCLN520110309001000001                                                                         
5E 9 2 MCLN520110309001000001                                                                         
5E 9 2 MCLN520110314001000001                                                                         
5E 9 2 MCLN520110315001000001                                                                         
5E 9 2 MCLN520110317001000001                                                                         
5E 9 2 MCLN520110317001000001                                                                         
5E 9 2 MCLN520110317001000001                                                                         
5E 9 2 MCLN520110317001000001                                                                         
5E 9 2 MCLN520110323001000001                                                                         
5E 9 2 MCLN520110323001000001                                                                         
5E 9 2 MCLN520110324001000001                                                                         
5E 9 2 MCLN520110326001000001                                                                         
5E 9 2 MCLN520110326001000001                                                                         
5E 9 2 MCLN520110326001000001                                                                         
5E 9 2 MCLN520110327001000001                                                                         
5E 9 2 MCLN520110327001000001                                                                         
5E 9 2 MCLN520110328001000001                                                                         
5E 9 2 MCLN520110330001000001                                                                         
5E 9 2 MCLN520110330001000001                                                                         
5E 9 2 MCLN520110331001000001                                                                         
4E 9 3 20110331                         Card black list urgent000000385000000000000001900000000073150D
5E 9 3 MCLN520110301001000001                                                                         
5E 9 3 MCLN520110301001000001                                                                         
5E 9 3 MCLN520110303001000001                                                                         
5E 9 3 MCLN520110303001000001                                                                         
5E 9 3 MCLN520110303001000001                                                                         
5E 9 3 MCLN520110303001000001                                                                         
5E 9 3 MCLN520110303001000001                                                                         
5E 9 3 MCLN520110303001000001                                                                         
5E 9 3 MCLN520110303001000001                                                                         
5E 9 3 MCLN520110303001000001                                                                         
5E 9 3 MCLN520110303001000001                                                                         
5E 9 3 MCLN520110303001000001                                                                         
5E 9 3 MCLN520110303001000001                                                                         
5E 9 3 MCLN520110303001000001                                                                         
5E 9 3 MCLN520110303001000001                                                                         
5E 9 3 MCLN520110303001000001                                                                         
5E 9 3 MCLN520110304001000001                                                                         
5E 9 3 MCLN520110304001000001                                                                         
5E 9 3 MCLN520110304001000001                                                                         
5E 9 3 MCLN520110304001000001                                                                         
5E 9 3 MCLN520110304001000001                                                                         
5E 9 3 MCLN520110304001000001                                                                         
5E 9 3 MCLN520110304001000001                                                                         
